avg_value_idx,trial_idx,ss,choice,fixations
0.0,1,"[-0.07621443877295482, -0.6655923626792186, -1.2167548815358291, 0.9309912130750855, -2.0388532925751828, 0.7667799905176063]","[6, 3, 4]","[1, 4, 4, 6, 3, 2, 2, 2, 2, 5]"
0.2,1,"[0.5946151971393259, 0.7339146460794177, -0.3147779238214596, -0.575262942527534, 0.3348609277987501, 1.8812829944277714]","[6, 5, 2]","[1, 5, 5, 3, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 6, 6, 6, 6, 4, 4]"
0.4,1,"[-0.005529628482783766, 0.4943766970768646, -0.056839952791979176, -0.0005123261302422688, 0.2107285509079383, -0.16557563005764986]","[2, 5, 3]","[4, 4, 5, 5, 3, 3, 3, 3, 3, 6, 1, 1, 1, 2, 2, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 3, 3, 3]"
0.6,1,"[0.7961219209359673, 2.1234094421918015, -0.12186807192732918, 0.7640560765676468, 2.5142667141484765, 1.7273959460451143]","[2, 6, 1]","[5, 4, 2, 3, 3, 3, 3, 6, 6, 1, 1, 1, 1, 2, 2]"
0.8,1,"[1.4080112140564127, -1.0985005231906142, 0.08934649809377437, 0.4456397857845655, -0.1296901588796564, 0.15997943868095998]","[1, 5, 3]","[4, 2, 6, 6, 6, 5, 3, 3, 4, 4, 4, 4, 1, 1, 1, 1, 2, 2, 2, 2]"
1.0,1,"[2.236725964252133, 2.4128980917854315, 0.8682512492396061, 1.5312535587111114, 1.9758722100974726, 1.0888688252766336]","[4, 3, 1]","[4, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 3, 3, 3, 3, 3]"
1.2,1,"[0.6270491402027718, 2.101749527964608, 0.30560451249986187, 0.8489539244322415, 0.40349101478263827, 0.6362383315945571]","[4, 1, 5]","[5, 2, 3, 3, 6, 1, 1, 1, 4, 4, 4, 4, 4]"
1.4,1,"[0.584829131088791, 0.6846829040286537, 1.3746137819237827, 2.1470394777710413, 2.9405608548618813, 1.3591776171414245]","[4, 5, 6]","[6, 5, 5, 4, 4, 4, 4, 4]"
1.6,1,"[2.5609314035793553, 1.069650332131988, 0.2767418378663793, 0.20095991939096103, 2.107184305201746, 1.8444412348631312]","[1, 4, 5]","[2, 6, 4, 3, 3, 3, 3, 1, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1]"
1.8,1,"[1.172004540477622, 2.783705129066394, 2.861311359348295, 2.232405215848636, 2.1335482666219017, 2.7940746492660935]","[3, 5, 2]","[2, 1, 5, 3, 3, 3, 3, 3, 3]"
2.0,1,"[2.3245275878744294, 0.023982509372555638, 3.3427636979777278, 1.2714237354861369, 1.8010879751339393, 2.3794363461706216]","[1, 4, 5]","[3, 6, 1, 4, 4, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5]"
0.0,2,"[1.3111990071025472, 1.1014858032169967, 2.4063332908839716, 0.0688338441101391, -0.787360000899021, -0.8891547718945217]","[1, 5, 4]","[4, 6, 1, 5, 5]"
