avg_value_idx,trial_idx,ss,choice,fixations
0.0,1,"[-1.8583100293877044, -1.0454428043610082, -0.5554764733753845, 0.9287745014858154, 0.6062323899815857, -0.09475178392601384]","[6, 3, 4]","[4, 6, 1, 2, 5, 3, 1, 2, 4, 4, 1, 1, 4, 4, 1, 5, 5, 5, 5, 5, 4, 3, 3, 6, 6, 4, 4, 5]"
0.2,1,"[-0.01680825741180414, 0.9833400443071463, 1.7035148182974964, 0.5269815373297211, -0.0900853865761948, 0.12836819788463122]","[2, 3, 4]","[6, 5, 4, 1, 3, 2, 1, 4, 5, 2, 6, 5, 4, 2, 3, 3, 3, 5, 5, 3, 3, 4, 4, 4, 5, 5, 4, 4, 4, 5, 5]"
0.4,1,"[-0.9628344497010878, 0.8985828581696681, 0.5166709283011466, 0.9812469625214145, 0.663703022652853, -0.7234402934435412]","[4, 2, 5]","[4, 6, 2, 3, 5, 1, 3, 2, 5, 5, 6, 6, 2, 2, 1, 5, 5, 2, 2, 5, 5, 2, 4, 3, 3, 3, 3, 3, 3, 3, 5, 5]"
0.6,1,"[1.5985457504136689, 0.40267061487954237, 1.5727403707214753, -1.90947513299789, 0.21092256100425205, 1.078636674737902]","[1, 5, 6]","[3, 1, 6, 4, 2, 5, 2, 4, 6, 5, 3, 3, 4, 2, 2, 3, 3, 5, 5, 1, 2, 2, 5, 5, 5, 2, 2, 2, 5, 5, 5, 3, 2, 6, 6, 6, 6, 6, 6, 1, 1, 3, 6, 6, 6, 6, 1, 3, 5, 5, 5, 5, 3, 3, 3, 3, 3]"
0.8,1,"[-0.43628951029407226, 2.26600812539133, 1.1967536167873316, 1.7312271141301236, 0.26797186641398685, 0.972372277010572]","[2, 3, 6]","[1, 6, 2, 4, 4, 6, 3, 5, 1, 5, 5, 4, 4, 4, 5, 5, 6, 6, 1, 1, 1, 3, 3, 3, 3, 3, 6, 2, 2, 2]"
1.0,1,"[0.5598137877156719, 0.15772690496562847, 2.353530458863605, 2.480497931393414, 1.6260975140070884, 0.6565846797255808]","[5, 2, 3]","[4, 2, 3, 6, 1, 5, 2, 1, 6, 3, 3, 6]"
1.2,1,"[0.7902187761773957, 1.344857312326951, 2.9760567672145473, 0.2444458571946586, 2.2650148990598984, 0.41368106621281]","[3, 5, 4]","[5, 3, 6, 4, 1, 1, 2, 5, 4, 4, 3, 5, 1, 1, 4, 4]"
1.4,1,"[2.1143735991660804, 2.504323086207463, 1.5205164660563768, -2.7593902978731486, -0.7140390110091164, 3.0533669646596113]","[1, 2, 6]","[1, 2, 5, 6, 4, 3, 3, 1, 1, 6, 6, 3, 3, 6, 6, 1, 3, 3, 2, 2, 2, 1, 1, 6, 6, 3, 3, 3, 6, 6, 6, 6, 1, 2, 2, 3, 3, 3]"
1.6,1,"[2.7791074719042426, 1.811585814941595, 1.342634913083762, 0.62977126759412, 1.940829241487354, 2.507759796696795]","[5, 2, 6]","[1, 4, 6, 3, 2, 5, 6, 4, 4, 6, 6, 5, 4, 4, 6, 6, 2, 2, 2, 2]"
1.8,1,"[0.5121104956120812, 0.8095064504105104, 2.418046687469263, 0.9131427712359088, 3.190058437611212, 0.6315826359991128]","[5, 3, 6]","[3, 2, 6, 4, 5, 2, 1, 1, 6, 6, 1, 3, 1, 6, 6, 5, 5, 1, 2, 2, 2, 2, 6, 6, 2, 2, 6, 6, 6, 2, 2, 2, 2, 2, 6, 5, 3, 6, 6, 6, 6, 2, 2, 2, 2, 6, 6, 6, 6, 5]"
